# visual 23d7d487-d7fd-4c5a-a7fb-d1a207d9fa06
group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,group_23,group_24,group_25,group_26,group_27,group_28,bcbd3796-ead0-45dd-a309-35eb7be44bee
HYC2,DFST,2026-04-02 00:00:00.000,702-1865275-9048268,702-7105932-9329049,446348431971201,TBC004637092100,B0DX4KSV95,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Awesome! Thank you,,,A2L4DQBB2Q0JHW,6,16606955-5,2P,16606955-5,AMXL Box Truck (Medium) w/ Helper,2026-04-02 00:00:00.000,,,2026-04-02 08:00:00.000,2026-04-02 20:00:00.000,8,20,12
HYC2,DFST,2026-04-06 00:00:00.000,702-8564549-9913006,702-6700014-9882654,447015519067201,TBC004649043100,B0F4VLJ98N,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Courteous and accommodating movers. They were able to move up my slot as I had to leave early.,1,1,A1NQ8BHTSVZK15,320,16629216-12,2P,16629216-12,AMXL Box Truck (Medium) w/ Helper,2026-04-06 00:00:00.000,,,2026-04-06 08:00:00.000,2026-04-06 20:00:00.000,8,20,12
HYC2,DFST,2026-04-14 00:00:00.000,702-8776250-2949802,702-7650742-0448205,447908364446201,TBC004667063100,B0F7J14C5Q,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,1,Technicians talking in s different language during the entire service. They didn’t know how to mount the TV and did not use the manual to mount the TV but looked on YouTube on how to do it. They were impolite and unprofessional.,1,,A3J65O9ZVJO6A0,59,16670544-4,2P,16670544-4,AMXL Box Truck (Medium) w/ Helper,2026-04-13 00:00:00.000,,,2026-04-13 08:00:00.000,2026-04-13 20:00:00.000,8,20,12
HYC2,DFST,2026-04-22 00:00:00.000,702-3627084-5836223,702-5372642-7640200,448924677540201,TBC004690499100,B012H0KBYK,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Excellent quick and efficient.,,,A38QKBS6Q4WD8E,359,16724721-3,2P,16724721-3,AMXL Box Truck (Medium) w/ Helper,2026-04-22 00:00:00.000,,,2026-04-22 11:00:00.000,2026-04-22 14:00:00.000,11,14,3
HYC2,DFST,2026-04-27 00:00:00.000,701-6607599-4974656,701-1240714-8230603,449546538014201,TBC004704524100,B0193V3DJ6,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,"This was not an easy delivery. The box was very long and over 200 pounds. The 2 gentlemen were able to get it into the basement without a scratch or even rub on the hardwood, the walls or the box itself. They deserve a 6 out of 5 for how they handled a very tough delivery.",,,A3I7ZIWT0ZWYEN,158,16754643-15,2P,16754643-15,AMXL Box Truck (Medium) w/ Helper,2026-04-27 00:00:00.000,,,2026-04-27 08:00:00.000,2026-04-27 20:00:00.000,8,20,12
HYC2,DFST,2026-04-27 00:00:00.000,702-1473427-3439460,702-7445963-1176237,447286070508201,TBC004659803100,B002HWNVZK,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Was fast and good quality delivery,,,A1TI0DX7C02HQ9,312,16659236-8,2P,16659236-8,AMXL Box Truck (Medium) w/ Helper,2026-04-11 00:00:00.000,,,2026-04-11 11:00:00.000,2026-04-11 14:00:00.000,11,14,3
HYC2,DFST,2026-04-30 00:00:00.000,701-9313191-4467468,701-5338755-4925869,450021658142201,TBC004711989100,B002HWNVZK,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Very professional and friendly,,,A8G3DJPLS0TOJ,23,16773125-2,2P,16773125-2,AMXL Box Truck (Medium) w/ Helper,2026-04-30 00:00:00.000,,,2026-04-30 08:00:00.000,2026-04-30 20:00:00.000,8,20,12
HYC2,DFST,2026-05-01 00:00:00.000,701-6770600-1475405,701-7392830-1711430,450294872100201,TBC004719065100,B0CLBPSV29,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,The gentleman who set up my TV were polite and quick. They knew what they were doing. I'm very satisfied.,,,A1IPEDDF458RA6,230,16779286-3,2P,16779286-3,AMXL Box Truck (Medium) w/ Helper,2026-05-01 00:00:00.000,,,2026-05-01 08:00:00.000,2026-05-01 20:00:00.000,8,20,12
HYC2,DFST,2026-05-08 00:00:00.000,702-9040601-0511421,702-0847793-6259412,451196560158201,TBC004742255100,B0F5QTYGVF,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,very good service,,,A3I7ZIWT0ZWYEN,163,16821924-5,2P,16821924-5,AMXL Box Truck (Medium) w/ Helper,2026-05-08 00:00:00.000,,,2026-05-08 08:00:00.000,2026-05-08 20:00:00.000,8,20,12
HYC2,DFST,2026-05-16 00:00:00.000,702-2561248-2833058,702-2187705-1125814,451619972314201,TBC004757276100,B09R94Z8KS,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Kind and good guys,,,A3I7ZIWT0ZWYEN,169,16871338-13,2P,16871338-13,AMXL Box Truck (Medium) w/ Helper,2026-05-16 00:00:00.000,,,2026-05-16 11:00:00.000,2026-05-16 14:00:00.000,11,14,3
HYC2,DFST,2026-05-21 00:00:00.000,701-0092524-3294627,701-6504113-4781055,452968037970201,TBC004779563100,B0DWH4NLS3,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Excellent Service Professional Service,,,A8G3DJPLS0TOJ,36,16902029-4,2P,16902029-4,AMXL Box Truck (Medium) w/ Helper,2026-05-21 00:00:00.000,,,2026-05-21 14:00:00.000,2026-05-21 17:00:00.000,14,17,3
HYC2,DFST,2026-05-22 00:00:00.000,702-8644718-0962605,702-3275831-8865058,453006807197201,TBC004782532100,B0GS6TRLGY,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Very professional and helpful.,,,A3I7ZIWT0ZWYEN,172,16908485-10,2P,16908485-10,AMXL Box Truck (Medium) w/ Helper,2026-05-22 00:00:00.000,,,2026-05-22 11:00:00.000,2026-05-22 14:00:00.000,11,14,3
