# visual 73f48661-b4fc-4432-aba9-3190f02a89ae
group_0,group_1,group_2,group_3,group_4,8a8566da-0667-4576-b06e-a418cff2b01a,a6b6f0a2-8289-4a12-b12e-b61f0d324a3d,a77903ba-178c-4119-af8e-6c7555cf7781,f962bcf3-3b29-464d-a7f2-64d2070d7709
HYC2,DFST,ROC,Room of Choice Delivery,Excellent and so very friendly.,5,1,0,0
HYC2,DFST,ROC,Room of Choice Delivery,Excellent. Great service. They called before the delivery to make sure I was home and where I wanted it placed.,5,1,0,0
HYC2,DFST,ROC,Room of Choice Delivery,Great service,5,2,0,0
HYC2,DFST,ROC,Room of Choice Delivery,They called before arrival and they delivered to the desired room and made the process easy.,5,1,0,0
HYC2,DFST,ROC,Room of Choice Delivery,They were professional and did that with no damage and,5,1,0,0
HYC2,DFST,ROC,Room of Choice Delivery,Very efficient and friendly delivery -- called and texted before arrival,5,1,0,0
HYC2,DFST,Unpack,Deluxe Delivery and Unpack,Five star,5,1,0,0
HYC2,DFST,Unpack,Deluxe Delivery and Unpack,Great,5,1,0,0
HYC2,DFST,Unpack,Deluxe Delivery and Unpack,Very satisfied. Work completed quickly,5,1,0,0
HYE1,ANDR,ROC,Room of Choice Delivery,Delivery man was very polite and friendly and did a great job!,5,1,0,0
HYE1,ANDR,Unpack,Deluxe Delivery and Unpack,The 2 deliverymen were efficient and courteous and did a good job.,5,1,0,0
HYE1,ANDR,Unpack,Deluxe Delivery and Unpack,"When setting up, they skipped user agreement and I can’t use tv.",2,1,1,1
HYO1,PTCI,Unpack,Deluxe Delivery and Unpack,"Delivery, unpacking and installation were professional and pleasant.",5,1,0,0
HYO1,PTCI,Unpack,Deluxe Delivery and Unpack,"I was beyond thrilled it arrived early and a phone call from delivery team was made. They were professional, quick, knowledgeable, answered my questions and overall excellent service! Well worth it highly recommend! Great job",5,1,0,0
HYO1,RURN,ROC,Room of Choice Delivery,"Great job! They showed up on time, were very professional and brought the item to the living room in the basement where we requested it.",5,1,0,0
HYO1,RURN,ROC,Room of Choice Delivery,The two gentlemen who delivered the treadmill through our basement walkout were excellent. Not an easy job lifting those units.,5,1,0,0
HYV1,VAVA,ROC,Room of Choice Delivery,Delivery was on time and very friendly,5,1,0,0
HYV1,VAVA,ROC,Room of Choice Delivery,"They were prompt, efficient, friendly and the large item came completely damage free. Great.",5,1,0,0
HYV1,VAVA,ROC,Room of Choice Delivery,This service was delivered to the room instead of installation. They were able to delivered my table to the basement as instructed.,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,Delivery was smooth and professional. The team placed the item exactly where I wanted. Very satisfied.,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,Excellent service,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,Good,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,"Have spoken to 13 Amazon representatives trying to get resolution on a purchase I paid an additional fee which was not accomplished by delivery guys who were unwilling and unable to accomplish moving a Ordered on may 22,( delivered to hallway on may 27), TV down a flight of stairs to my family room. It is now 5:40 June 3rd, and still no solution. All Im asking for is the product moved.",1,1,1,1
HYZ1,FLIT,ROC,Room of Choice Delivery,On time and kept me updated on delivery time via text. Quickly and efficiently put item where directed.,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,Room delivery is a great service especially for seniors. They called first then delivered he TV.,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,Service was good and on time,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,The 2 delivery guys were very professional and their determination to get the  heavy product  into the desired location within the home was appreciated !!!,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,The guys were professional and courteous,5,1,0,0
HYZ1,FLIT,ROC,Room of Choice Delivery,They did not deliver to room only left at entrance,1,1,1,1
HYZ1,FLIT,ROC,Room of Choice Delivery,Very efficient delivery,5,1,0,0
HYZ1,MYCU,ROC,Room of Choice Delivery,Delivery time 1 to 3 arrived at 2 Good service,5,1,0,0
HYZ1,MYCU,ROC,Room of Choice Delivery,"Excellent delivery, very difficult and they still accommodated.",5,1,0,0
HYZ1,MYCU,ROC,Room of Choice Delivery,Professional and courteous associates. They delivered my item to my specified location.,5,1,0,0
HYZ1,MYCU,ROC,Room of Choice Delivery,The two delivery men were professional and quick. They called and texted me prior to arrival and there were no issues with the delivery of a very heavy box to my basement.,5,1,0,0
HYZ1,MYCU,ROC,Room of Choice Delivery,all good,5,1,0,0
