# visual 966cbc88-055e-41ed-921e-5a809ec1ba05
group_0,401796bd-8dd7-4ecb-a86b-3b961943f713,8a8566da-0667-4576-b06e-a418cff2b01a,a77903ba-178c-4119-af8e-6c7555cf7781
2026-23,542,4.470479704797048,0.11808118081180811
2026-24,481,4.627858627858628,0.08523908523908524
2026-25,587,4.693356047700171,0.07325383304940375
2026-26,1609,4.637663144810441,0.08203853325046613
2026-27,497,4.645875251509055,0.07645875251509054
2026-28,300,4.663333333333333,0.07666666666666666

# visual 17b77810-2a01-456e-8388-92f64b4ecea9
group_0,401796bd-8dd7-4ecb-a86b-3b961943f713,8a8566da-0667-4576-b06e-a418cff2b01a,a77903ba-178c-4119-af8e-6c7555cf7781
2026-23,580,4.593103448275862,0.0913793103448276
2026-24,541,4.547134935304991,0.10720887245841036
2026-25,558,4.584229390681004,0.0985663082437276
2026-26,1016,4.682086614173229,0.07086614173228346
2026-27,895,4.594413407821229,0.09273743016759776
2026-28,678,4.6415929203539825,0.07669616519174041

# visual c85802de-5d51-4216-963b-525c31935a5c
group_0,401796bd-8dd7-4ecb-a86b-3b961943f713,8a8566da-0667-4576-b06e-a418cff2b01a,a77903ba-178c-4119-af8e-6c7555cf7781
2026-04,2146,4.747437092264678,0.05405405405405406
2026-05,2578,4.668347556245151,0.07253685027152831
2026-06,3361,4.620053555489438,0.08658137459089557

# visual f5d2788b-d1f5-491f-91e6-6a3acd44f5ba
group_0,401796bd-8dd7-4ecb-a86b-3b961943f713,8a8566da-0667-4576-b06e-a418cff2b01a,a77903ba-178c-4119-af8e-6c7555cf7781
2026-04,2253,4.748335552596538,0.05326231691078562
2026-05,2461,4.672084518488419,0.07192198293376677
2026-06,3105,4.61256038647343,0.08824476650563608

# visual 8057af71-1be5-4f43-9a43-9c7075379962
group_0,401796bd-8dd7-4ecb-a86b-3b961943f713,8a8566da-0667-4576-b06e-a418cff2b01a,a77903ba-178c-4119-af8e-6c7555cf7781
2026-23,585,4.589743589743589,0.0905982905982906
2026-24,530,4.564150943396227,0.10377358490566038
2026-25,558,4.593189964157706,0.0949820788530466
2026-26,1054,4.686907020872865,0.07020872865275142
2026-27,858,4.623543123543124,0.08391608391608392
2026-28,626,4.645367412140575,0.07827476038338659

# visual 88bdd70f-174f-4753-a8e7-cb1f4d649617
group_0,group_1
2026-23,5
2026-23,4
2026-23,3
2026-23,2
2026-23,1
2026-24,5
2026-24,4
2026-24,3
2026-24,2
2026-24,1
2026-25,5
2026-25,4
2026-25,3
2026-25,2
2026-25,1
2026-26,5
2026-26,4
2026-26,3
2026-26,2
2026-26,1
2026-27,5
2026-27,4
2026-27,3
2026-27,2
2026-27,1
2026-28,5
2026-28,4
2026-28,3
2026-28,2
2026-28,1

# visual 6fd4c87c-8d00-488c-9016-5e4f503b578a
group_0,401796bd-8dd7-4ecb-a86b-3b961943f713,8a8566da-0667-4576-b06e-a418cff2b01a,a77903ba-178c-4119-af8e-6c7555cf7781
2026-04,2278,4.748024582967515,0.05179982440737489
2026-05,2468,4.673419773095624,0.07171799027552674
2026-06,3078,4.605912930474334,0.09096816114359974

# visual 06bb3d69-ac33-47c6-b7f3-670a53c80b20
group_0,group_1
2026-23,5
2026-23,4
2026-23,3
2026-23,2
2026-23,1
2026-24,5
2026-24,4
2026-24,3
2026-24,2
2026-24,1
2026-25,5
2026-25,4
2026-25,3
2026-25,2
2026-25,1
2026-26,5
2026-26,4
2026-26,3
2026-26,2
2026-26,1
2026-27,5
2026-27,4
2026-27,3
2026-27,2
2026-27,1
2026-28,5
2026-28,4
2026-28,3
2026-28,2
2026-28,1

# visual 58aa2f7c-9d04-426b-8531-2f5037455500
group_0,group_1
2026-23,5
2026-23,4
2026-23,3
2026-23,2
2026-23,1
2026-24,5
2026-24,4
2026-24,3
2026-24,2
2026-24,1
2026-25,5
2026-25,4
2026-25,3
2026-25,2
2026-25,1
2026-26,5
2026-26,4
2026-26,3
2026-26,2
2026-26,1
2026-27,5
2026-27,4
2026-27,3
2026-27,2
2026-27,1
2026-28,5
2026-28,4
2026-28,3
2026-28,2
2026-28,1
